identifier,entityName,attributeName,attributeLabel,attributeDefinition,attributeUnit,viewURL,query_datetime_utc,assigned_valueURI,prefName,ontoName,package_type,child_rm,parent_rm,parent_metadata_pid
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110729.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110730.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110731.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110801.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110802.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110803.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110804.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110805.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110806.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110807.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110808.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110809.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110810.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110811.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110812.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110813.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110814.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110815.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110816.000001.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110817.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
